id,Historical Period,Time/Century,Edition name,URL,Scholarly,Digital,Edition,Language,Writing support,Begin date,End date,Manager or Editor,Institution(s),Audience,Philological statement,Account of textual variance,Value of witnesses,XML-TEI Transcription,XML(-TEI) available to download,Images,Zoom images,"Image manipulation (brightness, rotation, etc.)",Text-Image Linking,Source Text Translation,Website language,Glossary,Indices,String matching,Advanced search,Creative Commons License,Open source/Open access,Linked Open Data,API,Crowdsourcing,Feedback,Technological statement,Links to ext. resources,OCR or keyed?,Mobile friendly/application,Print-friendly view,Print facsimile (complementary output),Repository of source material(s),Place of origin of source material(s),Sponsor/Funding body,Budget (rough),Infrastructure,Current availability,RIDE review,Sahle Catalog,Citation,Handle-PID,Scholarly_bin,Digital_bin,Edition_bin,Edition_not_provided,Philological_statement_no,Philological_statement_not_provided,Philological_statement_partly,Philological_statement_yes,Account_of_textual_variance_no,Account_of_textual_variance_not_provided,Account_of_textual_variance_partly,Account_of_textual_variance_yes,XML_TEI_Transcription_no,XML_TEI_Transcription_not_provided,XML_TEI_Transcription_partly,XML_TEI_Transcription_yes,XML__TEI__available_to_download_no,XML__TEI__available_to_download_not_provided,XML__TEI__available_to_download_partly,XML__TEI__available_to_download_yes,Images_no,Images_not_provided,Images_partly,Images_yes,Zoom_images_bin,Zoom_images_not_provided,Image_manipulation__brightness__rotation__etc___bin,Image_manipulation__brightness__rotation__etc___not_provided,Text_Image_Linking_no,Text_Image_Linking_not_provided,Text_Image_Linking_partly,Text_Image_Linking_yes,Glossary_bin,Glossary_not_provided,Indices_no,Indices_not_provided,Indices_partly,Indices_yes,String_matching_bin,String_matching_not_provided,Advanced_search_bin,Advanced_search_not_provided,Creative_Commons_License_no,Creative_Commons_License_partly,Creative_Commons_License_yes,Linked_Open_Data_bin,Linked_Open_Data_not_provided,API_bin,API_not_provided,Crowdsourcing_no,Crowdsourcing_not_provided,Crowdsourcing_partly,Crowdsourcing_yes,Feedback_no,Feedback_not_provided,Feedback_partly,Feedback_yes,Technological_statement_no,Technological_statement_not_provided,Technological_statement_partly,Technological_statement_yes,Links to ext. resources_bin,Mobile friendly/application_bin,Current availability_bin,Citation_bin,Citation_not_provided,Historical_Period_Antiquity,Historical_Period_Antiquity__Middle_Ages,Historical_Period_Contemporary,Historical_Period_Early_Modern,Historical_Period_Early_Modern__Long_Nineteenth_Century,Historical_Period_Early_Modern__Long_Nineteenth_Century__Modern__Contemporary,Historical_Period_Early_Modern_Long_Nineteenth_Century,Historical_Period_Long_Nineteenth_Century,Historical_Period_Long_Nineteenth_Century__Modern,Historical_Period_Long_Nineteenth_century,Historical_Period_Middle_Ages,Historical_Period_Middle_Ages__Early_Modern,Historical_Period_Modern,Historical_Period_Modern__Contemporary,Value_of_witnesses_0_5__1,Value_of_witnesses_no,Value_of_witnesses_not_provided,Value_of_witnesses_partly,Value_of_witnesses_yes,Open_source_Open_access_Open_Access_and_Open_Source__all_data,Open_source_Open_access_Open_Access_and_Open_Source__some_data,Open_source_Open_access_no,Open_source_Open_access_not_provided,Open_source_Open_access_partly,Open_source_Open_access_yes,OCR_or_keyed__Keyed,OCR_or_keyed__Keyed__OCR,OCR_or_keyed__OCR,OCR_or_keyed__OCR__Keyed,OCR_or_keyed__OCR_Keyed,OCR_or_keyed__not_provided,Print_friendly_view_forthcoming,Print_friendly_view_no,Print_friendly_view_not_provided,Print_friendly_view_partly,Print_friendly_view_trial,Print_friendly_view_yes,Print_facsimile__complementary_output__forthcoming,Print_facsimile__complementary_output__no,Print_facsimile__complementary_output__not_provided,Print_facsimile__complementary_output__partly,Print_facsimile__complementary_output__yes,RIDE_review_10_18716_ride_a_13_4,RIDE_review_http___ride_i_d_e_de_issues_issue_1_codex_sinaiticus,RIDE_review_http___ride_i_d_e_de_issues_issue_1_nietzschesource,RIDE_review_http___ride_i_d_e_de_issues_issue_2_becerro_galicano,RIDE_review_http___ride_i_d_e_de_issues_issue_2_fleischmann_diaries,RIDE_review_http___ride_i_d_e_de_issues_issue_3_godwin,RIDE_review_http___ride_i_d_e_de_issues_issue_5_jane_austens_fiction_manuscripts,RIDE_review_https___ride_i_d_e_de_issues_issue_17_okopenko,RIDE_review_https___ride_i_d_e_de_issues_issue_5_damaboba,RIDE_review_no,Sahle_Catalog_https___digitale_edition_de_e613,Sahle_Catalog_https___digitale_edition_de_e820,Sahle_Catalog_https___digitale_edition_de_e825,Sahle_Catalog_no,Sahle_Catalog_not_provided,Sahle_Catalog_yes,Historical_Period_code,period_start,period_end,author,phil_direction,description,keywords,authoritativeness_score,renown_score
145,Middle Ages,975-1025,Electronic Beowulf 4.0,http://ebeowulf.uky.edu/,yes,yes,yes,ANG,Manuscript,not provided,not provided,Kevin Kiernan,University of Kentucky,Students; general public; scholars,yes,not provided,yes,no,no,yes,yes,no,partly,ENG,ENG,yes,no,yes,yes,no,yes,no,no,no,yes,partly,yes,Keyed,no,not provided,not provided,British Library,England,not provided,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D110-6,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,975,1025,Not specified (Poet),Anglo-Saxon Epic,"A celebrated digital edition of the Beowulf manuscript, providing high-resolution images, transcripts, and tools for paleo-graphical study.",Poetry # Epic # Manuscript # Philology # Mythology,45.0,35.0
146,Long Nineteenth Century,19th,Emily Dickinson's Archive,http://www.edickinson.org/,yes,yes,yes,ENG,Manuscript,not provided,not provided,not provided,Various,not provided,partly,not provided,not provided,yes,no,yes,yes,no,no,no,ENG,no,no,yes,yes,yes,Open Access and Open Source (some data),no,no,no,yes,yes,yes,Keyed,no,not provided,not provided,American Antiquarian Society; Amherst College; Beinecke Rare Book and Manuscript Library; Boston Public Library; Houghton Library; Library of Congress; Smith College Libraries; Vassar College,United States,"The Sidney Verba Fund, Harvard Library; the Emily Dickinson Fund, Houghton Library; Harvard University Press",not provided,not provided,no,no,yes,not provided,21.11115/0000-000B-D111-5,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,1801,1900,Emily Dickinson,American Poetry,"An open-access collection of high-resolution images of Emily Dickinson’s surviving manuscripts, allowing readers to see her unique visual poetics.",Poetry # Manuscript # Art # Biography # Criticism,40.0,65.0
147,Long Nineteenth Century,1830-1886,Emily Dickinson's Correspondences,http://rotunda.upress.virginia.edu/edc/,yes,yes,yes,ENG,Letter,not provided,2008,Martha Nell Smith; Lara Vetter,University of Virginia,Dickinson scholars,yes,not provided,not provided,yes,no,yes,yes,no,no,no,ENG,not provided,not provided,not provided,not provided,no,no,no,no,no,yes,partly,yes,Keyed,no,not provided,not provided,not provided,United States,Andrew W. Mellon Foundation; President's Office of the University of Virginia,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D112-4,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7,1830,1886,Emily Dickinson,American Literature,"A digital edition of Dickinson's letters, treating them as literary texts in their own right and revealing her intense personal relationships.",Correspondence # Biography # Poetry # Literature # Gender,20.0,25.0
148,Early Modern,1555,Gabriel Harvey's Livy Online,http://abo.annotatedbooksonline.com/#binding-5-1,no,yes,no,ENG,Manuscript,not provided,not provided,Paul Dijstelberge; Anthony Grafton; Lisa Jardine; Bart Jaski; Jürgen Pieters; William Sherman; Els Stronks; Matthew Symonds; Arnoud Visser,University College London; University of Utrecht; Princeton University,not provided,partly,not provided,not provided,no,no,yes,yes,yes,partly,ENG,ENG,no,no,yes,yes,no,Open Access and Open Source (some data),no,no,no,no,no,yes,Keyed,no,not provided,not provided,Princeton University Library,England,not provided,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D113-3,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1555,1555,Gabriel Harvey,Early Modern Marginalia,"An edition of Gabriel Harvey's annotated copy of Livy's History of Rome, a prime example of how Renaissance readers engaged with classical texts.",History # Commentary # Reading # Politics # Marginalia,6.0,15.0
149,Early Modern,1600-1630,Galileo Galilei's Notes on Motion,http://www.mpiwg-berlin.mpg.de/Galileo_Prototype/MAIN.HTM,yes,yes,yes,ITA,Manuscript,1988,not provided,Isabella Truci; Paolo Galluzzi; Jürgen Renn,Max Planck Institute for the History of Science,not provided,yes,not provided,not provided,no,no,yes,yes,no,no,no,ENG,no,yes,no,no,no,yes,no,no,no,yes,yes,yes,Keyed,no,not provided,not provided,Biblioteca Nazionale Centrale di Firenze,Italy,not provided,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D114-2,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1600,1630,Galileo Galilei,Early Modern Science,"A digital reconstruction of Galileo's manuscript notes on motion, documenting the experiments that led to his laws of falling bodies.",Science # Physics # Manuscript # Philosophy # Math,30.0,94.0
150,Middle Ages,15th,Göttinger Statuten (kundige bok 2),http://kundigebok.stadtarchiv.goettingen.de/kb2Web/html/,yes,yes,not provided,GMH,Manuscript,not provided,2009,Malte Rehbein,University of Göttingen,not provided,yes,not provided,not provided,yes,no,no,not provided,not provided,not provided,not provided,GER,not provided,yes,no,no,no,yes,not provided,no,no,not provided,yes,yes,Keyed,no,not provided,not provided,Stadtarchiv Göttingen,Göttingen,not provided,not provided,not provided,no,no,yes,not provided,21.11115/0000-000B-D115-1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,1401,1500,Not specified (City Council),Medieval Legal History,"An edition of the ""Kundige Bok,"" the statute book of the city of Göttingen, recording medieval municipal laws and regulations.",Law # Administration # History # Politics # Sociology,15.0,10.0
151,Long Nineteenth Century,1819-1891,Herman Melville's Typee,http://rotunda.upress.virginia.edu/melville/,yes,yes,yes,ENG,Manuscript; Book,2006,2009,John Bryant,University of Virginia,not provided,partly,not provided,not provided,yes,no,yes,yes,no,no,no,ENG,not provided,not provided,not provided,not provided,no,no,no,no,no,yes,partly,yes,Keyed,no,not provided,not provided,New York Public Library,United States,Andrew W. Mellon Foundation; President's Office of the University of Virginia,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D116-0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,1819,1891,Herman Melville,American Fiction,"A fluid-text edition of Melville's first novel, Typee, showing the revisions made to the manuscript and the differences between early editions.",Novel # Travel # Manuscript # Philology # Exploration,5.0,95.0
152,Early Modern,18th,In Mozart's Words,http://letters.mozartways.com/,yes,yes,yes,GER,Letter,not provided,2011,Cliff Eisen,University of Sheffield; King's College London; Stiftung Mozarteum Salzburg,not provided,yes,not provided,not provided,yes,no,no,no,no,no,no,ENG; GER; ITA; FRE,no,yes,yes,no,no,yes,no,no,no,yes,no,yes,Keyed,no,yes,not provided,Stiftung Mozarteum Salzburg,Various,not provided,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D117-F,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1701,1800,Mozart,Classical Music,"A multilingual digital edition of the correspondence of Mozart and his family, providing insight into his life, travels, and musical career.",Music # Correspondence # Biography # Travel # History,10.0,15.0
153,Early Modern; Long Nineteenth Century,19th,Intibah Edition and Transcription,http://courses.washington.edu/otap/intibah/intibah.html,no,yes,no,OTA,Novel,forthcoming,not provided,Selim S. Kuru,University of Washington,not provided,partly,not provided,partly,not provided,no,yes,yes,no,no,no,ENG,no,no,no,no,no,yes,no,no,no,yes,no,no,Keyed,no,not provided,not provided,not provided,Turkey,not provided,not provided,not provided,no,no,no,not provided,21.11115/0000-000B-D118-E,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,1801,1900,Namık Kemal,Ottoman Literature,"A digital transcription and edition of Intibah (Awakening), considered the first literary novel of the Ottoman Tanzimat period.",Novel # Literature # Philology # Translation # History,10.0,8.0
154,Long Nineteenth Century,1879,Jerilderie Letter,http://www.nma.gov.au/collections/collection_interactives/jerilderie_letter,no,yes,yes,ENG,Letter,not provided,not provided,not provided,National Museum of Australia,not provided,partly,not provided,yes,no,no,yes,no,no,no,no,ENG,no,no,no,no,no,yes,no,no,no,yes,partly,yes,Keyed,no,not provided,not provided,State Library of Victoria,Australia,not provided,not provided,Flash,no,no,no,not provided,21.11115/0000-000B-D119-D,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7,1879,1879,Ned Kelly,Australian History,"A digital presentation of the famous 8,000-word letter dictated by the outlaw Ned Kelly, justifying his actions and criticizing police corruption.",Biography # Law # Politics # History # Manifesto,18.0,45.0
155,Early Modern,1621,John Barclay: Argenis,http://www.chlt.org/sandbox/colloquia/argenis/index.html,no,yes,yes,LAT,Manuscript,not provided,not provided,not provided,University of Kentucky,not provided,partly,not provided,not provided,no,no,no,no,no,no,no,ENG; LAT,no,no,no,no,no,yes,no,no,no,no,no,no,Keyed,no,not provided,not provided,Various,Italy,not provided,not provided,not provided,no,no,no,not provided,21.11115/0000-000B-D11A-C,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1621,1621,John Barclay,Neo-Latin Novel,"An online edition of Argenis, a highly influential 17th-century political romance written in Latin that was read across Europe.",Novel # Politics # Allegory # Latin # Satire,6.0,15.0
156,Long Nineteenth Century,1819-1839,Journal of Emily Shore,http://rotunda.upress.virginia.edu/EmilyShore/make-page.xqy,no,yes,yes,ENG,Journal,not provided,2006,Barbara Timm Gates,University of Virginia,not provided,partly,not provided,not provided,yes,no,yes,not provided,not provided,not provided,no,ENG,not provided,not provided,yes,not provided,no,no,no,no,no,yes,not provided,no,Keyed,no,not provided,not provided,University of Delaware Library,United States,Andrew W. Mellon Foundation; President's Office of the University of Virginia,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D11B-B,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,1819,1839,Emily Shore,19th Century Diary,"The diary of a precocious young Englishwoman who died of consumption at 19, recording her intellectual development and natural history observations.",Diary # Nature # Science # Biography # Education,6.0,7.0
157,Long Nineteenth Century,1846-1870,Lautréamont / Ducasse,http://www.phalese.fr/Maldoror/index.php?title=Accueil,yes,yes,yes,FRE,Letter; Manuscript,not provided,not provided,not provided,Université Sorbonne Nouvelle Paris 3,not provided,partly,not provided,not provided,no,yes,no,no,no,no,no,FRE,no,yes,yes,no,no,Open Access and Open Source (all data),no,no,no,no,partly,yes,Keyed,no,not provided,not provided,Various,France,not provided,not provided,MediaWiki,no,no,no,not provided,21.11115/0000-000B-D11C-A,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7,1846,1870,Lautréamont,French Poetry,"A digital archive of the works of Isidore Ducasse (Lautréamont), the precursor to Surrealism known for Les Chants de Maldoror.",Poetry # Prose # Manuscript # Criticism # Art,6.0,30.0
158,Middle Ages,1217-1282,Le Cartulaire de la seigneurie de Nesle,http://www.cn-telma.fr/nesle/index/,yes,yes,yes,LAT; FRM,Manuscript,not provided,not provided,not provided,CNRS (Institut de recherche et d'histoire des textes),not provided,partly,not provided,yes,not provided,no,yes,no,no,no,no,FRE,no,yes,no,no,no,yes,no,no,no,yes,no,no,Keyed,no,not provided,not provided,Musée Condé,France,not provided,not provided,not provided,no,no,yes,not provided,21.11115/0000-000B-D11D-9,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,1217,1282,Not specified (Clerics),Medieval Cartulary,"An edition of the cartulary of the Lordship of Nesle, preserving charters and documents related to the administration of this French fiefdom.",Law # Administration # History # Genealogy # Economics,35.0,18.0
159,Early Modern; Long Nineteenth Century,1785-1812,Martha Ballard's Diary Online,http://dohistory.org/diary/index.html,yes,yes,yes,ENG,Diary,not provided,not provided,Richard P. Rogers,Roy Rosenzweig Center for History and New Media (George Mason University),not provided,yes,not provided,not provided,no,no,yes,no,no,no,no,ENG,no,no,yes,yes,no,yes,no,no,no,yes,partly,yes,Keyed,no,not provided,not provided,Maine State Library,United States,National Endowment for the Humanities; Maine Humanities Council,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D11E-8,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1785,1812,Martha Ballard,Early American Diary,"The diary of a Maine midwife from 1785-1812, recording thousands of births and providing a detailed account of the domestic economy of the time.",Diary # Medicine # Sociology # History # Economics,35.0,65.0
160,Long Nineteenth Century,1855-1920,Olive Schreiner Letters Online,http://www.oliveschreiner.org/,yes,yes,yes,ENG,Manuscript,not provided,2012,Liz Stanley,University of Edinburgh; Leeds Metropolitan University; University of Sheffield,not provided,yes,not provided,not provided,partly,no,no,no,no,no,no,ENG,not provided,not provided,yes,yes,no,Open Access and Open Source (some data),not provided,not provided,no,not provided,partly,yes,Keyed,no,yes,not provided,Various,South Africa,Economic and Social Research Council,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D11F-7,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7,1855,1920,Olive Schreiner,South African Literature,"The collected letters of the South African writer and feminist Olive Schreiner, author of The Story of an African Farm.",Correspondence # Politics # Gender # Literature # History,45.0,55.0
161,Long Nineteenth Century; Modern,19th-20th,Online Electronic Variorum of the Works of Rabindranath Tagore,http://rabindranathtagore-150.gov.in/online-voriourum.html,no,yes,yes,BEN,Manuscript; Book,not provided,not provided,R. N. Tripathy,Indian Ministry of Culture,Scholars; general public; professionals,partly,not provided,partly,no,no,not provided,not provided,not provided,not provided,no,ENG,not provided,not provided,not provided,not provided,no,not provided,not provided,no,no,yes,not provided,no,Keyed,no,not provided,not provided,not provided,India,not provided,282 Rs lakhs.,not provided,no,no,yes,not provided,21.11115/0000-000B-D120-4,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8,1801,2000,Rabindranath Tagore,Bengali Literature,"A variorum edition of the works of the Nobel laureate Tagore, allowing for the comparison of different versions of his poems and songs.",Poetry # Song # Philology # Manuscript # Literature,50.0,55.0
162,Middle Ages,13th-14th,Ordonnances de l'hôtel du roi,http://www.cn-telma.fr/ordonnances/index/,yes,yes,yes,FRO,Manuscript,not provided,not provided,not provided,CNRS (Institut de recherche et d'histoire des textes),not provided,partly,not provided,not provided,not provided,no,no,no,no,no,no,FRE,no,yes,yes,no,no,yes,no,no,no,yes,no,no,Keyed,no,not provided,not provided,Archives Nationales; Bibliotheque Nationale de France,France,not provided,not provided,not provided,no,no,no,not provided,21.11115/0000-000B-D121-3,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,1201,1400,Not specified (Royal Clerks),Medieval History,"An edition of the ordinances regulating the French King's household (Hôtel du Roi), detailing court hierarchy, etiquette, and logistics.",Law # Administration # History # Politics # Court,5.0,10.0
163,Antiquity,2nd BC,Septuaginta LXX,http://septuaginta.net/,yes,yes,yes,GRC,Codex,not provided,not provided,not provided,not provided,not provided,partly,not provided,not provided,no,no,no,no,no,no,ENG,ENG,no,yes,no,no,no,yes,no,no,no,yes,no,no,Keyed,no,not provided,not provided,Various,Various,not provided,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D122-2,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-200,-101,Not specified (Translators),Biblical Text,A project providing the text of the Septuagint (the Greek Old Testament) alongside translations and textual tools.,Religion # Theology # Translation # Philology # History,8.0,40.0
