id,Edition name,Author Name (of Original Work),Philosophical/Artistic Direction,Content Description
164,Sirat Bani Hilal Digital Archive,Not specified (Oral Poets),Arabic Epic,"An archive preserving audio recordings and manuscripts of the Sirat Bani Hilal, a massive Arabic oral epic poem about the migration of the Bedouin tribe."
165,Søren Kierkegaards Skrifter,Søren Kierkegaard,Existential Philosophy,"The complete works and journals of the Danish philosopher Søren Kierkegaard, presented in a sophisticated digital environment."
166,Stijn Streuvels: De teleurgang van den Waterhoek (The decline of the Waterhoek) CDROM,Stijn Streuvels,Modern Dutch Literature,"A genetic edition of Streuvels' novel, documenting the text's evolution from manuscript drafts to the final published version."
167,The Adams Papers,Adams Family,Early American History,"A digital edition of the diaries, letters, and papers of the Adams family, including John, Abigail, and John Quincy Adams."
168,The Alcalá Account Book Project,Not specified (Administrators),Early Modern History,"An edition of the account books of the Irish College at the University of Alcalá, documenting the daily life of the Irish diaspora in Spain."
169,The André Gide Editions Project,André Gide,French Literature,"A project focusing on the genetic editing of the works of André Gide, specifically Les Faux-Monnayeurs and his journals."
170,The Benjamin Marston Diary Project,Benjamin Marston,American Loyalist Diary,"The diary of a Massachusetts Loyalist who was exiled to Canada after the American Revolution, recording his struggles and observations."
171,The Bevan Family Letters,Bevan Family,19th Century Correspondence,"A collection of letters from a prominent English banking family, offering insights into Victorian social life, religion, and business."
172,The Burnet Psalter,Not specified (Scribes),Medieval Liturgy,"A digital facsimile of a 15th-century psalter from Aberdeen, notable for its Scottish provenance and illumination."
173,The Canterbury Tales Project,Geoffrey Chaucer,Middle English Poetry,A long-running project aiming to transcribe and collate all surviving 15th-century manuscripts of Chaucer's Canterbury Tales.
174,The Digital Temple: A Documentary Edition of George Herbert's English Verse,George Herbert,Metaphysical Poetry,"A digital edition of Herbert's The Temple, presenting the text alongside images of the earliest manuscripts and printed editions."
175,The Diriks Family Scrapbooks,Diriks Family,Norwegian Culture,"A digital presentation of the scrapbooks created by the artistic Diriks family, documenting Norwegian cultural life in the 19th century."
176,The Documentary History of the Ratification of the Constitution,Not specified (Founding Fathers),American Constitutional History,A massive collection of documents recording the state-by-state debates and ratification process of the U.S. Constitution.
177,The Dolley Madison Digital Edition,Dolley Madison,Early American History,"The complete correspondence of the First Lady Dolley Madison, documenting her central role in the social and political life of Washington D.C."
178,The Geese Book,Not specified (Scribes),Medieval Liturgy,"A digital presentation of a large, illuminated two-volume gradual from Nuremberg, famous for its whimsical marginal illustrations (including geese)."
179,The Hartlib Papers Project,Samuel Hartlib,Early Modern Science,"The massive archive of Samuel Hartlib, a 17th-century polymath whose correspondence network was a precursor to the Royal Society."
180,The Letters of Christina Rossetti,Christina Rossetti,Victorian Poetry,"The complete collected letters of the poet Christina Rossetti, illuminating her literary career, faith, and relationships with the Pre-Raphaelites."
181,The Letters of Matthew Arnold,Matthew Arnold,Victorian Literature,"A comprehensive edition of the letters of the poet and critic Matthew Arnold, covering his views on education, culture, and society."
182,The Malory Project,Thomas Malory,Arthurian Literature,"An electronic edition of Le Morte Darthur, focusing on the Winchester Manuscript and its relationship to Caxton's print edition."
183,The Papers of Alexander Hamilton,Alexander Hamilton,Early American History,"The collected writings and correspondence of the Founding Father Alexander Hamilton, covering his military, legal, and political career."
184,The Papers of Eliza Lucas Pinckney and Harriot Pinckney Horry,Eliza Pinckney & Harriot Horry,Early American History,"The papers of two prominent South Carolinian women, documenting plantation management, botany, and social life in the 18th century."
185,The Papers of George Washington,George Washington,Early American History,"The comprehensive edition of the diaries, letters, and military orders of George Washington."
186,The Papers of James Madison,James Madison,Early American History,"The collected papers of the fourth U.S. President, covering his role in drafting the Constitution and his presidency."
187,The Papers of Thomas Jefferson,Thomas Jefferson,Early American History,"The definitive edition of the extensive writings of Thomas Jefferson, spanning his entire public and private life."
188,The Pérez Galdós Editions Project,Benito Pérez Galdós,Spanish Realism,"A project creating digital scholarly editions of the novels of Pérez Galdós, beginning with Torquemada en la hoguera."
189,The Planctus for William Longsword,Not specified (Poet),Medieval Latin Poetry,"An edition of a 10th-century lament for the assassinated Duke of Normandy, William Longsword, a key text for Norman history."
190,The Zibaldone project,Giacomo Leopardi,Italian Philosophy,"A project dedicated to Leopardi's Zibaldone, his massive intellectual diary containing thoughts on philosophy, philology, and literature."
191,Virginie Loveling’s Diary,Virginie Loveling,WWI Diary,"The war diary of the Flemish author Virginie Loveling, offering a civilian's perspective on the German occupation of Belgium during WWI."
192,William Golder Electronic Edition,William Golder,New Zealand Literature,"An edition of the works of William Golder, one of New Zealand's earliest settler poets."
193,William of Palerne,Not specified (Anonymous),Middle English Romance,"An electronic edition of the alliterative romance William of Palerne, a tale of a prince turned into a werewolf."
194,Wittgensteins Nachlass: The Bergen Electronic Edition,Ludwig Wittgenstein,Modern Philosophy,"A complete transcription and facsimile of Wittgenstein's Nachlass (literary estate), essential for studying the development of his philosophy."
195,Zibaldone Europeo,Giacomo Leopardi,Italian Philosophy,A comparative study of Leopardi's Zibaldone within the context of European culture and thought.
196,Pietro Mellini's Inventory in verse 1681,Pietro Mellini,Early Modern Art History,"An edition of a rhymed inventory describing the art collection of the Mellini family in Rome, a valuable source for provenance research."
197,Inscriptiones Alborum Amicorum,Not specified (Various),Early Modern Album Amicorum,"A database of inscriptions found in ""friendship albums"" (alba amicorum), documenting social networks and travel in early modern Europe."
198,"George Etheridge's Encomium on Henry VIII addressed to Elizabeth II, British Library Royal MS 16 C X",George Etheridge,Neo-Latin Poetry,"A digital edition of a Greek encomium praising Henry VIII, presented to Queen Elizabeth I by the Regius Professor of Greek at Oxford."
199,Digitalisierte Edition des Ältesten Appenzeller Landbuchs,Not specified (Scribes),Swiss Legal History,"An edition of the oldest ""Landbuch"" (code of law) of the canton of Appenzell, a key document for Swiss legal tradition."
200,Corpus of Ioannes Dantiscus' Texts & Correspondence,Ioannes Dantiscus,Renaissance Humanism,"The collected texts and correspondence of the Polish diplomat and poet Johannes Dantiscus, a central figure in Northern Humanism."
201,Dante's Commedia,Dante Alighieri,Medieval Italian Poetry,A digital edition of the Divine Comedy focusing on the text's manuscript tradition and variant readings.
202,"A London Provisioner's Chronicle, 1550–1563, by Henry Machyn: Manuscript, Transcription, and Modernization",Henry Machyn,Early Modern Diary,"The diary of a London merchant undertaker, providing a vivid account of funerals, pageants, and executions in Tudor London."
203,Collection of Swiss Law Sources,Not specified (Various),Swiss Legal History,"A massive digital repository of historical legal sources from Switzerland, dating from the Middle Ages to the early modern period."
204,El Cancionero digital de Gómez Manrique (páginas 11-44),Gómez Manrique,Medieval Spanish Poetry,"A digital edition of the cancionero of the 15th-century poet Gómez Manrique, uncle of Jorge Manrique."
205,ASChart Anglo-Saxon Charters,Not specified (Scribes),Anglo-Saxon History,"A database and edition of Anglo-Saxon charters, the legal documents recording land grants and privileges in early medieval England."
206,Excerpts from the Chronicle of Matthew of Edessa,Matthew of Edessa,Medieval Armenian History,"An edition of sections from the chronicle of Matthew of Edessa, a primary source for the history of the Crusades and the Near East."
207,Les Cours d’Antoine Desgodets,Antoine Desgodets,Early Modern Architecture,"The lecture notes of the architect Antoine Desgodets, who taught at the Royal Academy of Architecture in Paris."
208,Digitale Edition und Kommentierung der Tagebücher des Fürsten Christian II. von Anhalt-Bernburg,Christian II of Anhalt-Bernburg,Early Modern Diary,"The extensive diaries of a German prince during the Thirty Years' War, documenting court life, politics, and military events."
209,Die Relatio Adelberts von Heidenheim und der Text Ilsungs,Adalbert of Heidenheim,Medieval Hagiography,"An edition of a 12th-century report on the miracles of St. Walpurga, shedding light on medieval monasticism and saint cults."
210,Je chante ung chant,Not specified (Composers),Medieval Music,"An archive of the ""Je chante ung chant"" corpus of medieval songs, exploring the transmission of polyphonic music."
211,Einstein Archives Online,Albert Einstein,Modern Science,"A comprehensive digital archive of Einstein's scientific and non-scientific manuscripts, including the papers on Relativity."
212,Codice Pelavicino,Not specified (Scribes),Medieval History,"A digital edition of the Liber Iurium of the Bishop of Luni, a 13th-century manuscript recording the bishopric's rights and properties."
213,Woolf Online,Virginia Woolf,Modernist Literature,"A scholarly platform dedicated to To the Lighthouse, featuring the manuscript, typescripts, proofs, and first edition of the novel."
214,Les manuscrits de Madame Bovary,Gustave Flaubert,19th Century Novel,"A complete transcription of the thousands of manuscript pages of Madame Bovary, allowing readers to trace the novel's genesis."
215,Digital Schomburg Editions: African American Women Writers of the 19th century,Not specified (Various),African American Literature,"A collection of 19th-century fiction, poetry, and biography by Black women, including Phillis Wheatley and Frances Ellen Watkins Harper."
216,Faust Edition,Johann Wolfgang von Goethe,German Literature,"A comprehensive historical-critical edition of Goethe's Faust, presenting all manuscript witnesses and printed versions."
217,Theodor Fontane: Notizbücher,Theodor Fontane,German Realism,"A genetic edition of the notebooks of the novelist Theodor Fontane, containing sketches, drafts, and observations used in his fiction."
218,Johann Christian Senckenberg: Digital Edition of the Diaries,Johann Christian Senckenberg,Early Modern Medicine,"The diaries of the Frankfurt physician and naturalist Senckenberg, providing a detailed record of 18th-century medical practice and daily life."
219,Édition des journaux d'Alexandre Dumas,Alexandre Dumas,19th Century Journalism,"An edition of the newspapers founded and edited by Dumas, revealing his prolific output as a journalist and commentator."
220,Alexander von Humboldt Briefedition,Alexander von Humboldt,19th Century Science,A large-scale project digitizing the vast correspondence of the explorer and scientist Alexander von Humboldt.
221,Jacob Burckhardt,Jacob Burckhardt,Cultural History,"A critical edition of the works and letters of the Swiss historian Jacob Burckhardt, founder of cultural history and author of The Civilization of the Renaissance in Italy."
222,Key Documents of German-Jewish History,Not specified (Various),Jewish History,A bilingual digital source edition documenting the history of Jews in Germany from the early modern period to the present.
223,Sappho’s Poems,Sappho,Ancient Greek Poetry,"A digital collection of the surviving fragments of Sappho's poetry, often including the original Greek and translations."
224,L’Orlando Furioso e la sua traduzione in immagini,Ludovico Ariosto,Renaissance Literature/Art,"A project exploring the visual reception of Orlando Furioso, archiving the illustrations and paintings inspired by the epic over centuries."
225,Schopenhauer’s Library: Annotations and marks in his Spanish books,Arthur Schopenhauer,Philosophy,An analysis of the marginalia and annotations Schopenhauer made in the Spanish books in his personal library.
226,Clavius on the Web,Christoph Clavius,Early Modern Mathematics,"A portal dedicated to the Jesuit mathematician Clavius, key architect of the Gregorian calendar, featuring his correspondence and works."
227,The Fleischmann Diaries,Aloys Fleischmann,Irish Music History,"The diaries of the composer and professor Aloys Fleischmann, documenting the cultural and musical life of Cork and Ireland in the 20th century."
228,Deutsches Textarchiv (DTA),Not specified (Various),German Corpus Linguistics,"A massive, disciplined corpus of German texts from 1600 to 1900, providing a foundation for linguistic and literary research."
229,Project Tarsian: First Corinthians in Vaticanus Arabicus 13,Paul the Apostle (Text),Biblical Studies,"An edition of an Arabic manuscript of 1 Corinthians, exploring the textual history of the Bible in the Arabic-speaking world."
230,Letters of 1916,Not specified (Various),Irish History,"A crowd-sourced digital archive of letters written in or to Ireland during the tumultuous year of 1916, covering the Easter Rising and WWI."
231,Bibliotheca Iuris Antiqui (BIA),Not specified (Jurists),Roman Law,"A database of ancient legal texts, primarily Roman, serving as a resource for legal historians."
232,The Wandering Jew's Chronicle,Not specified (Anonymous),Folklore,"An edition of the popular ballad ""The Wandering Jew's Chronicle,"" tracing the history of this legend in print culture."
233,Roman Inscriptions of Britain,Not specified (Inscribers),Roman Epigraphy,"The standard corpus of Roman inscriptions found in Britain, digitized and searchable by location, type, and material."
234,"Teutsche Academie der Bau-, Bild- und Mahlerey-Künste, Joachim von Sandrart, Nürnberg 1675/1679/1680: Wissenschaftlich kommentierte Online-Edition",Joachim von Sandrart,Art History,"A critical online edition of Sandrart's Teutsche Academie, a monumental 17th-century history of art and artists comparable to Vasari."
235,ABaC:us - Austrian Baroque Corpus,Not specified (Various),Baroque Literature,"A digital corpus of religious and secular texts from the Austrian Baroque period, designed for linguistic and literary analysis."
236,Darwin Online: Online Variorum of Darwin’s Origin of Species,Charles Darwin,Evolutionary Biology,A tool allowing line-by-line comparison of the six editions of On the Origin of Species published during Darwin's lifetime.
237,Dāmos Database of Mycenaean at Oslo,Not specified (Scribes),Mycenaean Epigraphy,"A searchable database of annotated Linear B texts, aiding the linguistic study of the earliest attested form of Greek."
238,Van Nu en Straks brieven,Not specified (Editors),Flemish Literature,"The correspondence of the editors and contributors to Van Nu en Straks, the leading journal of the Flemish literary revival."
239,Streuvels en zijn uitgevers – brieven,Stijn Streuvels,Publishing History,"The correspondence between the author Stijn Streuvels and his publishers, illuminating the business of literature in the 20th century."
240,Briefwechsel Sauer-Seuffert,Sauer & Seuffert,Philology,"The correspondence between the Germanists August Sauer and Bernhard Seuffert, discussing the establishment of German philology as a discipline."
241,"Ursus from Benevento, De nomine",Ursus of Benevento,Medieval Grammar,"An edition of a 9th-century grammatical treatise by Ursus of Benevento, significant for the study of medieval education in southern Italy."
242,William F. Cody Archive,William F. Cody,American West,"An archive documenting the life and career of ""Buffalo Bill"" Cody, exploring his role in shaping the myth of the American West."
243,Johannes Tinctoris: Complete Theoretical Works,Johannes Tinctoris,Music Theory,"A critical edition of the treatises of the 15th-century music theorist Tinctoris, covering counterpoint, modes, and notation."
244,Digital Athenaeus,Athenaeus,Greek Literature,"A digital project focused on the Deipnosophists of Athenaeus, a massive compilation of ancient knowledge, quotations, and dining culture."
245,Magistri Guillelmi Autissiodorensis Summa de officiis ecclesiasticis,William of Auxerre,Medieval Theology,"An edition of William of Auxerre's Summa on ecclesiastical offices, a key text for understanding medieval liturgy and sacramental theology."
246,Musil Online,Robert Musil,Austrian Modernism,"A digital edition of the works of Robert Musil, including the massive, unfinished novel The Man Without Qualities."
247,A Comprehensive Edition of Tocharian Manuscripts,Not specified (Scribes),Tocharian Studies,"A project digitizing and editing manuscripts in the extinct Tocharian languages found on the Silk Road, crucial for Indo-European linguistics."
248,Briefe und Texte aus dem Intellektuellen Berlin um 1800,Not specified (Intellectuals),German Romanticism,"A collection of letters and texts from the vibrant intellectual circles of Berlin around 1800, featuring figures like Tieck and Chamisso."
249,Biblioteca Digital del Pensamiento Novohispano,Not specified (Various),Mexican Colonial Literature,A library of philosophical and theological texts produced in New Spain (Mexico) during the colonial period.
250,Bliss-Tyler Correspondence,Bliss & Tyler,20th Century Diplomacy,"The correspondence between Robert Woods Bliss and Royall Tyler, offering insights into 20th-century diplomacy and art collecting."
251,edition humboldt digital,Alexander von Humboldt,19th Century Science,"The central digital edition of Humboldt's travel journals and writings, documenting his expeditions to the Americas."
252,"Vespasiano da Bisticci, Lettere",Vespasiano da Bisticci,Renaissance Humanism,"The letters of the famous Florentine bookseller and biographer, a central node in the network of 15th-century humanists."
253,Digitale Edition der Briefe Erdmuthe Benignas von Reuß-Ebersdorf (1670-1732),Erdmuthe Benigna,Pietism,"The correspondence of a noblewoman active in the Pietist movement, revealing the role of women in 18th-century religious networks."
254,Jane Addams Digital Edition,Jane Addams,Social Reform,"The collected papers of the social reformer and Nobel Peace Prize winner Jane Addams, covering Hull House and the peace movement."
255,Les Pensées de Blaise Pascal,Blaise Pascal,17th Century Philosophy,"A digital edition of Pascal's Pensées, allowing users to reconstruct the fragmentary apologetic notes in various orders."
256,Ödön von Horváth: Historisch-kritische Ausgabe – Digitale Edition,Ödön von Horváth,Austrian Literature,"A critical edition of the plays and prose of Horváth, a key figure in 20th-century German-language literature known for his ""Volksstücke."""
257,Lament of St. Anselm,Anselm of Canterbury,Medieval Devotion,"An edition of the Planctus attributed to Anselm, a text expressing deep sorrow and penitence often used in medieval devotion."
258,Beethovens Werkstatt,Ludwig van Beethoven,Classical Music,A genetic criticism project analyzing Beethoven's sketching and composition process through his manuscripts and sketchbooks.
259,The Charles Harpur Critical Archive,Charles Harpur,Australian Poetry,"A comprehensive archive of the works of Charles Harpur, the first major poet of European settlement in Australia."
260,La Dama Boba,Lope de Vega,Spanish Golden Age Theater,"A digital critical edition of Lope de Vega's comedy La dama boba, focusing on the transmission of the text."
261,En el ojo del huracán. Cartas de ultramar a España 1823,Not specified (Various),19th Century History,A collection of letters sent from the Spanish colonies in the Americas to Spain during the turbulent year of 1823.
262,Kosztolányi Dezső: Édes Anna,Dezső Kosztolányi,Hungarian Modernism,"A critical edition of Kosztolányi's novel Édes Anna, a psychological study of a maid who murders her employers."
263,Kosztolányi Dezső: Édes Anna,Dezső Kosztolányi,Hungarian Modernism,Another digital instance or module of the critical edition of Kosztolányi's Édes Anna.
264,Kassák Lajos: The Horse Dies the Birds Fly Away / A ló meghal a madarak kirepülnek,Lajos Kassák,Avant-Garde Poetry,"A digital edition of Kassák's constructivist masterpiece, a long poem recounting his travels across Europe."
265,Kosztolányi Dezső: Aranysárkány,Dezső Kosztolányi,Hungarian Modernism,"A critical edition of Golden Kite, Kosztolányi's novel about the tragic downfall of a provincial schoolteacher."
266,Kosztolányi Dezső: Esti Kornél,Dezső Kosztolányi,Hungarian Modernism,"A critical edition of the Esti Kornél stories, featuring Kosztolányi's famous alter ego in a series of loose, impressionistic sketches."
267,Fanchali Jób-kódex,Not specified (Scribe),Early Modern Hungarian,An edition of a late 16th-century manuscript containing Hungarian songs and historical texts.
268,Eötvös József: A falu jegyzóje,József Eötvös,19th Century Hungarian Novel,"A critical edition of The Village Notary, a satirical novel criticizing the feudal county administration in Hungary."
269,József Attila összes tanulmánya és cikke,Attila József,Hungarian Modernism,"The complete collected essays and articles of the poet Attila József, covering literature, aesthetics, and politics."
270,József Attila összes tanulmánya és cikke. Szövegek 1930-1937,Attila József,Hungarian Modernism,"A focused edition of Attila József's prose writings from the 1930s, his most mature and politically active period."
271,Estoria de Espanna Digital,Alfonso X,Medieval History,"A digital edition of the Estoria de Espanna, the first history of Spain written in the Castilian vernacular, commissioned by Alfonso the Wise."
272,Gergei Albert: Árgirus históriája (version 1),Albert Gergei,Early Modern Hungarian Poetry,"An edition of the 16th-century romance Árgirus, a popular fairy-tale narrative in verse about a prince and a fairy."
273,Wathay Ferenc összes műve,Ferenc Wathay,Early Modern Hungarian Poetry,"The complete works of the soldier-poet Wathay, written during his captivity by the Ottomans, featuring songs and autobiographical verse."
274,"Adriai tengernek syrénája, gróf Zrínyi Miklós",Miklós Zrínyi,Hungarian Baroque,"An edition of Zrínyi's epic poem The Siege of Sziget, the cornerstone of Hungarian Baroque literature."
275,Rimay János verseinek fragmentumi,János Rimay,Early Modern Hungarian Poetry,"A collection of the fragmentary verses of Rimay, a disciple of Balassi and a key figure in late Renaissance Hungarian poetry."
276,Rimay János ifjúkori versgyűjteménye,János Rimay,Early Modern Hungarian Poetry,"An edition of Rimay's early poetry collection, showing his development as a mannerist poet."
277,Effectus amoris,Not specified (Anonymous),Early Modern Hungarian,An edition of a 16th-century Hungarian prose romance.
278,Érdy-kódex,Not specified (Translator),Medieval Hungarian,A major 16th-century manuscript containing the largest collection of legends and sermons in medieval Hungarian.
279,Régi Magyar Exemplumadatbázis/ Database of Old Hungarian Exempla,Not specified (Various),Medieval Literature,"A database of exempla (moral anecdotes) found in old Hungarian literature, used by preachers to illustrate their sermons."
280,Kazinczy Ferenc összes művei,Ferenc Kazinczy,Hungarian Enlightenment,"The complete works of Kazinczy, the organizer of the Hungarian language reform and literary life in the early 19th century."
281,Csokonai Vitéz Mihály összes művei,Mihály Csokonai Vitéz,Hungarian Enlightenment,"The complete works of the major poet of the Hungarian Enlightenment, known for his diversity of styles from Rococo to folk."
282,Opera Aesthetica Szerdahelyana / Szerdahely György Alajos esztétikai írásai,György Alajos Szerdahely,Aesthetics,"An edition of the aesthetic writings of Szerdahely, a Jesuit scholar who introduced the discipline of aesthetics to Hungary."
283,Gyöngyössi János művei,János Gyöngyössi,Hungarian Enlightenment,The collected works of a minor but representative poet of the Hungarian Enlightenment period.
284,Berzsenyi Dániel levelezése,Dániel Berzsenyi,Hungarian Romanticism,"The correspondence of Berzsenyi, the ""hermit of Nikla,"" documenting his intellectual isolation and exchanges with Kazinczy."
285,Magyar írók levelezése,Not specified (Various),Hungarian Literature,A collection of correspondence between various Hungarian writers of the 18th and 19th centuries.
286,A Ráday-család levelezése,Ráday Family,Early Modern History,"The correspondence of the Ráday family, prominent Protestant aristocrats and patrons of culture in 18th-century Hungary."
287,"Margit-legenda (Szent Margit élete, 1510)",Not specified (Scribe),Medieval Hagiography,"An edition of the Legend of Saint Margaret, a key text of medieval Hungarian monastic literature about the princess-nun Margaret."
288,Orpheus,Not specified (Kazinczy),Hungarian Enlightenment,"A digital edition of the literary journal Orpheus, edited by Ferenc Kazinczy in 1790."
289,Magyar Museum,Not specified (Kazinczy et al.),Hungarian Enlightenment,"An edition of Magyar Museum, the first significant Hungarian-language literary journal, founded by Kazinczy, Batsányi, and Baróti Szabó."
290,DER STURM. Digitale Quellenedition zur Geschichte der internationalen Avantgarde,Herwarth Walden (Editor),Expressionism/Avant-Garde,"A digital edition of sources related to Der Sturm, the influential Berlin art magazine and gallery that promoted Expressionism and the avant-garde."
291,Balassi Bálint összes verse (hálózati kritikai kiadás: version 1.0 and 2.0),Bálint Balassi,Renaissance Poetry,"A critical edition of the complete poems of Balassi, the first major poet of Hungarian literature to write in the vernacular."
292,Lelki énekekről régi magyarok,Not specified (Various),Religious Poetry,A collection of old Hungarian spiritual songs and hymns.
293,"Szabó Lőrinc: Föld, erdő, isten; Kalibán; Fény, fény, fény; A sátán műremekei; Te meg a világ; Különbéke; Harc az ünnepért; Régen és most",Lőrinc Szabó,Modern Hungarian Poetry,"Critical editions of several volumes of poetry by Lőrinc Szabó, a master of the sonnet and a major 20th-century translator."
294,A Tett folyóirat (The Journal „A Tett”),Lajos Kassák (Editor),Hungarian Avant-Garde,"A digital edition of A Tett (The Deed), the first Hungarian avant-garde journal, published by Kassák during WWI."
295,Mikszáth Kálmán összes művei 39,Kálmán Mikszáth,Hungarian Realism,"A volume of the critical edition of Mikszáth's works, likely containing short stories or journalistic pieces."
296,Mikszáth Kálmán összes művei 42,Kálmán Mikszáth,Hungarian Realism,Another volume of the critical edition of Mikszáth's works.
297,P.S. Post Scriptum: A Digital Archive of Ordinary Writing,Not specified (Civilians),Early Modern History,"An archive of private letters written by ordinary people in Portugal and Spain from 1500 to 1900, often intercepted by the Inquisition."
298,Jean Paul – Sämtliche Briefe digital,Jean Paul,German Romanticism,"The complete correspondence of the German writer Jean Paul, known for his humorous and digressive novels."
299,Armer Heinrich Digital,Hartmann von Aue,Medieval German Romance,"A digital edition of the Middle High German narrative poem Der arme Heinrich, about a leper knight redeemed by a maiden's sacrifice."
300,Deux visages de L'Astrée,Honoré d'Urfé,French Pastoral,"A critical edition comparing the first two parts of L'Astrée, the massive pastoral novel that influenced 17th-century French culture."
302,travel!digital,Not specified (Various),Travel Literature,"A corpus of German travel guidebooks (Baedeker) and travel writings from 1875 to 1914, analyzed for linguistic patterns."
303,"Mächtekongresse 1818–1822. Digitale Edition der Dokumente zu den Kongressen von Aachen (1818), Troppau (1820), Laibach (1821) und Verona (1822)",Not specified (Diplomats),19th Century History,"A digital edition of the diplomatic documents from the Congresses of the Holy Alliance, regulating European politics after Napoleon."
304,Tagebücher von Andreas Okopenko. Digitale Edition,Andreas Okopenko,Austrian Literature,"The diaries of the experimental Austrian writer Okopenko, covering the post-war period and the literary scene of the ""Wiener Gruppe."""
305,Ulrich Richental die Chronik des Konzils von Konstanz,Ulrich Richental,Medieval Chronicle,"An illustrated chronicle of the Council of Constance (1414-1418), providing a vivid eyewitness account of the ecclesiastical gathering."
306,Franco-Hungarian literary relations in the 20th century,Not specified (Various),Literary History,A digital collection of documents tracing the reception and interaction between French and Hungarian literature in the 20th century.
307,Schnitzler Critical Digital Edition,Arthur Schnitzler,Viennese Modernism,"A genetic critical edition of Schnitzler's works, starting with Lieutenant Gustl and Anatol, showing the development of the texts."
308,Johann Georg Hamann: Kommentierte Briefausgabe,Johann Georg Hamann,Counter-Enlightenment,"The correspondence of the ""Magus of the North,"" a philosopher who influenced Herder and Goethe with his critique of pure reason."
309,Grundtvigs Vaerker (The complete works of N.F.S. Grundtvig),N.F.S. Grundtvig,Danish History/Theology,"The massive collected works of Grundtvig, the pastor, poet, and politician who fundamentally shaped modern Danish national identity."
310,Die Korrespondenz von Leo von Thun-Hohenstein,Leo von Thun-Hohenstein,19th Century History,The correspondence of the Austrian minister who reformed the educational system after the 1848 revolutions.
311,Inscriptions of Greek Cyrenaica - Greek Verse Inscriptions of Cyrenaica,Not specified (Inscribers),Classical Epigraphy,"A specialized collection of poetic inscriptions found in Cyrenaica, offering a glimpse into the literary culture of the province."
312,"Romualdus Beneventanus, Chronicon",Romuald of Salerno,Medieval Chronicle,A critical edition of the 12th-century universal chronicle written by the Archbishop Romuald II of Salerno.
313,Samuel Hahnemann - Digitale kritische Edition - Krankenjournal DF5,Samuel Hahnemann,History of Medicine,"An edition of the case journals of the founder of homeopathy, documenting his patients' symptoms and treatments."
314,Arthur Schnitzler – Briefwechsel mit Autorinnen und Autoren,Arthur Schnitzler,Viennese Modernism,"The correspondence between Schnitzler and fellow writers, revealing the literary networks of turn-of-the-century Vienna."
315,Lazarraga eskuizkribua: edizioa eta azterketa,Juan Pérez de Lazarraga,Basque Literature,An edition of a recently discovered 16th-century manuscript containing the oldest known Basque pastoral romance and poetry.
316,Protokolle des Bayerischen Staatsrats,Not specified (Ministers),19th Century History,"The minutes of the Bavarian Council of State, documenting the political decision-making process in the Kingdom of Bavaria."
317,The glosses to the first book of the Etymologiae of Isidore of Seville,Isidore of Seville (Text),Medieval Scholarship,"An edition of the early medieval glosses on Isidore's Etymologies, showing how this encyclopedic text was taught and understood."
318,In Search of the Drowned: Testimonies and Testimonial Fragments of the Holocaust,Not specified (Survivors),Holocaust Studies,"A project analyzing the testimonies of Holocaust survivors, focusing on the linguistic and narrative structures of trauma."
319,Alexander von Humboldt: Sämtliche Schriften digital,Alexander von Humboldt,19th Century Science,"A complete digital edition of Humboldt's published writings, including his essays, articles, and major monographs."
320,Mystische Bücher in der Bibliothek der Kartause Erfurt,Not specified (Monks),Medieval Mysticism,"An exploration of the mystical texts held in the library of the Erfurt Charterhouse, a center of late medieval spirituality."
321,Peter Handke Notizbücher. Digitale Edition,Peter Handke,Contemporary Literature,"A digital edition of the notebooks of the Nobel Prize winner Peter Handke, which serve as the ""ur-text"" for his published works."
322,Gottfried Semper. Critical and Commented Edition,Gottfried Semper,Architectural Theory,"A critical edition of the writings of the architect Gottfried Semper, exploring his theories on style, materials, and evolution in art."
323,Thesaurus Inscriptionum Raeticarum,Not specified (Inscribers),Ancient Epigraphy,"A complete corpus of inscriptions in the Raetic language, an ancient language of the Alps related to Etruscan."
324,Lexicon Leponticum,Not specified (Inscribers),Celtic Linguistics,"An interactive etymological lexicon of the Lepontic language, the oldest attested Celtic language, found in Northern Italy."
325,Arthur Schnitzler – Chronik,Arthur Schnitzler,Viennese Modernism,"A detailed chronology of Schnitzler's life based on his diaries and letters, allowing users to trace his movements day by day."
326,Clara Katharina Pollaczek: Arthur Schnitzler und ich,Clara Katharina Pollaczek,Viennese Modernism,"The memoirs of Schnitzler's partner in his later years, providing an intimate portrait of the author and their relationship."
327,Aufenthaltsorte von Arthur Schnitzler (1879–1931),Arthur Schnitzler,Viennese Modernism,"A geospatial visualization of the places Schnitzler visited or lived in, linked to his diary entries and correspondence."
328,Arthur Schnitzler: Lektüren,Arthur Schnitzler,Viennese Modernism,"A database of the books Schnitzler read, reconstructed from his diary entries, revealing his intellectual influences."
329,Arthur Schnitzler: Tagebuch. Digitale Edition,Arthur Schnitzler,Viennese Modernism,"A digital edition of Schnitzler's complete diaries from 1879 to 1931, a monumental document of Viennese cultural history."
330,Arthur Schnitzler: Archiv der Zeitungsausschnitte,Arthur Schnitzler,Viennese Modernism,"An archive of the newspaper clippings collected by Schnitzler, documenting the critical reception of his works."
